name,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
IMU20,1695904056670000000,9.818620681762695,0.28730419278144836,0.014365210197865963,-0.0625,0,0,-34.84000015258789,31.639999389648438,8.15384578704834
IMU20,1695904056767000000,9.758766174316406,0.272938996553421,0.023942016065120697,0,0,0.25,-34.91999816894531,31.920000076293945,8.15384578704834
IMU20,1695904056864000000,9.787496566772461,0.2537853717803955,0.009576806798577309,0.0625,0,0,-34.959999084472656,31.84000015258789,8.230769157409668
IMU20,1695904056962000000,9.816226959228516,0.26336216926574707,-0.033518824726343155,0.25,0,0.0625,-34.84000015258789,31.440000534057617,8.692307472229004
IMU20,1695904057060000000,9.770736694335938,0.23942016065120697,-0.004788403399288654,0,0.125,0,-34.79999923706055,31.639999389648438,8.769230842590332
IMU20,1695904057157000000,9.78989028930664,0.22744916379451752,0.021547814831137657,0.0625,0,0,-35.15999984741211,31.68000030517578,8.076923370361328
IMU20,1695904057303000000,9.801861763000488,0.2849099934101105,0.014365210197865963,0.125,-0.125,0,-34.79999923706055,31.84000015258789,8.384614944458008
IMU20,1695904057400000000,9.794678688049316,0.24181437492370605,-0.004788403399288654,0,0.0625,0.0625,-34.84000015258789,31.760000228881836,8.307692527770996
IMU20,1695904057498000000,9.765948295593262,0.2849099934101105,0.043095629662275314,0,-0.125,-0.0625,-34.63999938964844,31.84000015258789,8.615385055541992
IMU20,1695904057595000000,9.801861763000488,0.2322375625371933,0.040701426565647125,0.0625,0,0,-34.880001068115234,31.639999389648438,8.230769157409668
IMU20,1695904057693000000,9.801861763000488,0.2777273952960968,-0.011971008032560349,0,0,0,-34.91999816894531,31.8799991607666,8.076923370361328
IMU20,1695904057790000000,9.780313491821289,0.2513911724090576,0.043095629662275314,0.0625,0,0,-34.7599983215332,32.040000915527344,8.076923370361328
IMU20,1695904057888000000,9.842562675476074,0.304063618183136,0,0.125,0,-0.125,-34.79999923706055,31.760000228881836,8.15384578704834
IMU20,1695904057985000000,9.775525093078613,0.2298433631658554,0.033518824726343155,0,0,0,-34.84000015258789,31.719999313354492,8.461538314819336
IMU20,1695904058083000000,9.825803756713867,0.3232172131538391,0.05506663769483566,0.0625,0,0,-34.7599983215332,31.8799991607666,8.076923370361328
IMU20,1695904058180000000,9.837774276733398,0.26815059781074524,0,0,-0.0625,0,-34.7599983215332,31.920000076293945,8
IMU20,1695904058279000000,9.765948295593262,0.2801215946674347,0.05985504016280174,0,0,0,-34.47999954223633,31.719999313354492,8.384614944458008
IMU20,1695904058424000000,9.806650161743164,0.26815059781074524,-0.0071826050989329815,-0.0625,0,-0.0625,-34.880001068115234,31.600000381469727,8.538461685180664
IMU20,1695904058522000000,9.804255485534668,0.3016694188117981,0.035913024097681046,0,-0.0625,-0.125,-34.959999084472656,31.799999237060547,8.307692527770996
IMU20,1695904058571000000,9.785101890563965,0.2992752194404602,0.033518824726343155,0,-0.0625,0.0625,-35,31.719999313354492,8.076923370361328
IMU20,1695904058668000000,9.823409080505371,0.30885201692581177,0.0071826050989329815,0.0625,0.125,-0.0625,-34.68000030517578,31.799999237060547,8.692307472229004
IMU20,1695904058815000000,9.828197479248047,0.2585737705230713,0.028730420395731926,-0.1875,-0.0625,0,-34.84000015258789,31.639999389648438,8.230769157409668
IMU20,1695904058866000000,9.84495735168457,0.29209259152412415,0.016759412363171577,0.0625,0,0.0625,-34.720001220703125,31.600000381469727,7.92307710647583
IMU20,1695904058961000000,9.799467086791992,0.24181437492370605,0.038307227194309235,0.0625,0,0,-34.84000015258789,32.119998931884766,8.230769157409668
IMU20,1695904059058000000,9.825803756713867,0.2801215946674347,-0.016759412363171577,0,0,0,-34.79999923706055,31.799999237060547,8.15384578704834
IMU20,1695904059204000000,9.816226959228516,0.2825157940387726,0.011971008032560349,0,0,0,-34.84000015258789,31.84000015258789,8.538461685180664
IMU20,1695904059302000000,9.804255485534668,0.27054479718208313,0.014365210197865963,0,0,0.0625,-34.91999816894531,31.639999389648438,8.384614944458008
IMU20,1695904059399000000,9.816226959228516,0.2801215946674347,0.028730420395731926,-0.125,0,0,-34.84000015258789,31.760000228881836,8.923076629638672
IMU20,1695904059545000000,9.818620681762695,0.272938996553421,-0.002394201699644327,-0.1875,0,0,-35.040000915527344,31.559999465942383,8.615385055541992
IMU20,1695904059594000000,9.792284965515137,0.272938996553421,0.0071826050989329815,-0.0625,0,0,-34.91999816894531,31.68000030517578,8.461538314819336
IMU20,1695904059691000000,9.81383228302002,0.2801215946674347,0.011971008032560349,0.25,0,0.0625,-35,31.799999237060547,7.92307710647583
IMU20,1695904059789000000,9.787496566772461,0.2537853717803955,0.016759412363171577,-0.125,0,0,-34.79999923706055,31.799999237060547,7.461538314819336
IMU20,1695904059935000000,9.797073364257812,0.26575639843940735,0.0071826050989329815,-0.0625,0,0,-35,31.639999389648438,8.15384578704834
IMU20,1695904059984000000,9.809043884277344,0.27054479718208313,0.031124621629714966,-0.0625,-0.1875,0.125,-35,31.68000030517578,8.15384578704834
IMU20,1695904060082000000,9.797073364257812,0.2585737705230713,0.023942016065120697,-0.0625,0,-0.125,-34.959999084472656,31.68000030517578,8.307692527770996
IMU20,1695904060180000000,9.785101890563965,0.3016694188117981,0.009576806798577309,0,-0.0625,0,-34.880001068115234,31.760000228881836,8.538461685180664
IMU20,1695904060325000000,9.787496566772461,0.27054479718208313,-0.009576806798577309,0.0625,0,0.0625,-34.84000015258789,31.719999313354492,8.230769157409668
IMU20,1695904060375000000,9.794678688049316,0.2561795711517334,0.021547814831137657,0.0625,-0.1875,0,-34.720001220703125,31.479999542236328,8.307692527770996
IMU20,1695904060472000000,9.806650161743164,0.2777273952960968,0.023942016065120697,0.125,0,-0.0625,-35,31.520000457763672,8.15384578704834
IMU20,1695904060572000000,9.775525093078613,0.24181437492370605,0.026336219161748886,0.0625,0,0.0625,-34.959999084472656,31.440000534057617,8.076923370361328
IMU20,1695904060667000000,9.804255485534668,0.29448679089546204,0.026336219161748886,0.125,0,0,-34.91999816894531,31.799999237060547,7.769230842590332
IMU20,1695904060765000000,9.780313491821289,0.2753331959247589,-0.009576806798577309,0.0625,0,0.0625,-34.7599983215332,31.639999389648438,8.307692527770996
IMU20,1695904060911000000,9.797073364257812,0.2609679698944092,0.026336219161748886,0,-0.1875,0.0625,-35.040000915527344,31.68000030517578,8.384614944458008
IMU20,1695904061009000000,9.78989028930664,0.26575639843940735,0.043095629662275314,0.1875,0,0.125,-34.959999084472656,31.68000030517578,8.769230842590332
IMU20,1695904061106000000,9.773131370544434,0.3280056416988373,0.002394201699644327,0.125,0,0,-34.880001068115234,31.719999313354492,8
IMU20,1695904061203000000,9.821015357971191,0.24899697303771973,0.026336219161748886,0.125,0,0.125,-34.91999816894531,31.559999465942383,8.384614944458008
IMU20,1695904061349000000,9.794678688049316,0.26336216926574707,0.004788403399288654,0.0625,0.0625,0.0625,-35.119998931884766,31.760000228881836,8.461538314819336
IMU20,1695904061398000000,9.782708168029785,0.29209259152412415,0.019153613597154617,0,0,0,-35.119998931884766,31.760000228881836,8.384614944458008
IMU20,1695904061495000000,9.799467086791992,0.2513911724090576,-0.011971008032560349,0.125,0,0,-35,31.68000030517578,7.846153736114502
IMU20,1695904061593000000,9.794678688049316,0.2322375625371933,0.011971008032560349,0.1875,0.125,0.1875,-34.84000015258789,31.600000381469727,8.461538314819336
IMU20,1695904061690000000,9.780313491821289,0.2513911724090576,0.0071826050989329815,0.3125,0.0625,0.125,-34.959999084472656,31.8799991607666,7.846153736114502
IMU20,1695904061788000000,9.794678688049316,0.2825157940387726,0.031124621629714966,0.25,0.0625,0,-34.84000015258789,31.84000015258789,8.230769157409668
IMU20,1695904061886000000,9.761159896850586,0.2825157940387726,0.011971008032560349,0.1875,0,0,-34.79999923706055,31.920000076293945,8.384614944458008
IMU20,1695904061983000000,9.794678688049316,0.2825157940387726,0.011971008032560349,0.125,-0.125,0,-34.91999816894531,31.760000228881836,8.538461685180664
IMU20,1695904062081000000,9.828197479248047,0.24181437492370605,0.05985504016280174,-0.0625,-0.0625,0.1875,-34.91999816894531,31.559999465942383,8.384614944458008
IMU20,1695904062178000000,9.81383228302002,0.27054479718208313,0.028730420395731926,0.0625,0.0625,0,-35.15999984741211,31.68000030517578,8.076923370361328
IMU20,1695904062276000000,9.794678688049316,0.26815059781074524,0.038307227194309235,0.0625,-0.0625,0.125,-34.880001068115234,31.959999084472656,7.92307710647583
IMU20,1695904062374000000,9.81143856048584,0.272938996553421,0,-0.0625,0,0,-34.7599983215332,31.639999389648438,8.307692527770996
IMU20,1695904062520000000,9.835380554199219,0.26815059781074524,-0.009576806798577309,0,-0.0625,0,-34.84000015258789,31.639999389648438,8.538461685180664
IMU20,1695904062568000000,9.799467086791992,0.26336216926574707,0.019153613597154617,-0.0625,0.1875,0,-34.7599983215332,31.920000076293945,8.15384578704834
IMU20,1695904062666000000,9.821015357971191,0.2801215946674347,0.019153613597154617,0,-0.0625,0,-34.84000015258789,31.760000228881836,8
IMU20,1695904062812000000,9.801861763000488,0.27054479718208313,0.0454898327589035,-0.125,0,-0.0625,-34.7599983215332,31.68000030517578,8.15384578704834
IMU20,1695904062861000000,9.823409080505371,0.27054479718208313,0.023942016065120697,0.0625,0,0,-34.7599983215332,31.639999389648438,8.230769157409668
IMU20,1695904063007000000,9.78989028930664,0.26575639843940735,0.016759412363171577,0,0.0625,-0.0625,-34.84000015258789,31.959999084472656,8.923076629638672
IMU20,1695904063104000000,9.854534149169922,0.23942016065120697,0.002394201699644327,-0.125,0,-0.0625,-34.880001068115234,31.8799991607666,8.615385055541992
IMU20,1695904063202000000,9.801861763000488,0.2992752194404602,0.002394201699644327,0.0625,-0.0625,-0.0625,-35,31.719999313354492,8.461538314819336
IMU20,1695904063299000000,9.763554573059082,0.2753331959247589,0.011971008032560349,0.125,0.0625,0,-35,31.68000030517578,8.461538314819336
IMU20,1695904063397000000,9.785101890563965,0.28730419278144836,0.0071826050989329815,0,-0.0625,-0.125,-35.08000183105469,31.559999465942383,8.692307472229004
IMU20,1695904063543000000,9.75397777557373,0.24420857429504395,0.047884032130241394,0,-0.0625,0,-35.08000183105469,31.799999237060547,8.461538314819336
IMU20,1695904063592000000,9.801861763000488,0.26815059781074524,0.016759412363171577,-0.0625,-0.0625,0,-34.79999923706055,31.959999084472656,8
IMU20,1695904063689000000,9.78989028930664,0.2346317619085312,0.009576806798577309,-0.0625,-0.0625,0,-34.7599983215332,31.760000228881836,7.92307710647583
IMU20,1695904063787000000,9.797073364257812,0.27054479718208313,0.0454898327589035,0,0.125,0,-34.91999816894531,31.719999313354492,8.307692527770996
IMU20,1695904063885000000,9.797073364257812,0.26336216926574707,0.031124621629714966,-0.0625,0,0.0625,-34.959999084472656,31.84000015258789,7.769230842590332
IMU20,1695904063982000000,9.78989028930664,0.2801215946674347,0.016759412363171577,0,0.125,0,-34.959999084472656,31.68000030517578,8
IMU20,1695904064080000000,9.804255485534668,0.2753331959247589,-0.0071826050989329815,0,0.0625,0.1875,-34.91999816894531,31.760000228881836,8.230769157409668
IMU20,1695904064177000000,9.792284965515137,0.2561795711517334,0.002394201699644327,0,0.0625,0,-34.880001068115234,31.639999389648438,7.769230842590332
IMU20,1695904064275000000,9.830592155456543,0.2777273952960968,0.009576806798577309,-0.0625,0,0,-34.91999816894531,31.84000015258789,8.15384578704834
IMU20,1695904064372000000,9.749189376831055,0.2609679698944092,0.0071826050989329815,-0.1875,0.0625,0.125,-34.959999084472656,31.68000030517578,8.923076629638672
IMU20,1695904064470000000,9.804255485534668,0.24899697303771973,0.035913024097681046,0.0625,0,0,-34.91999816894531,31.799999237060547,8
IMU20,1695904064567000000,9.801861763000488,0.2753331959247589,0.038307227194309235,0,0.0625,0.0625,-34.880001068115234,31.719999313354492,8.15384578704834
IMU20,1695904064665000000,9.77791976928711,0.24660277366638184,0.011971008032560349,-0.0625,0,-0.0625,-34.84000015258789,31.8799991607666,8.230769157409668
IMU20,1695904064810000000,9.81143856048584,0.23942016065120697,-0.0071826050989329815,0,-0.0625,0.125,-35.040000915527344,31.799999237060547,8.384614944458008
IMU20,1695904064860000000,9.825803756713867,0.22266075015068054,0.014365210197865963,0.25,0,0,-35,31.799999237060547,8
IMU20,1695904065008000000,9.806650161743164,0.24420857429504395,0.004788403399288654,0,-0.1875,0,-35.040000915527344,32.040000915527344,8
IMU20,1695904065103000000,9.799467086791992,0.2609679698944092,0.0694318488240242,0,-0.0625,0,-34.880001068115234,31.959999084472656,8.384614944458008
IMU20,1695904065201000000,9.81383228302002,0.2513911724090576,0.026336219161748886,0,0,0,-35.08000183105469,31.760000228881836,8.538461685180664
IMU20,1695904065298000000,9.782708168029785,0.26336216926574707,0,-0.0625,0.25,0,-34.91999816894531,31.68000030517578,8.615385055541992
IMU20,1695904065396000000,9.797073364257812,0.272938996553421,0.038307227194309235,0,0.125,-0.0625,-34.79999923706055,31.799999237060547,8.615385055541992
IMU20,1695904065493000000,9.780313491821289,0.26575639843940735,0.023942016065120697,-0.125,0,0,-35.040000915527344,32.08000183105469,8
IMU20,1695904065591000000,9.782708168029785,0.272938996553421,0.011971008032560349,0,0.0625,0,-34.880001068115234,31.8799991607666,8.384614944458008
IMU20,1695904065688000000,9.794678688049316,0.26336216926574707,0,0,0.0625,0.125,-34.84000015258789,31.84000015258789,8.461538314819336
IMU20,1695904065786000000,9.780313491821289,0.22505494952201843,0.021547814831137657,0,-0.0625,-0.0625,-34.84000015258789,31.440000534057617,8.461538314819336
IMU20,1695904065883000000,9.818620681762695,0.2825157940387726,0.040701426565647125,0,0,0,-34.68000030517578,31.719999313354492,8.307692527770996
IMU20,1695904065981000000,9.806650161743164,0.27054479718208313,0.033518824726343155,0.0625,0.0625,0,-34.7599983215332,31.719999313354492,8.384614944458008
IMU20,1695904066079000000,9.787496566772461,0.272938996553421,-0.0071826050989329815,-0.125,0.0625,-0.125,-34.880001068115234,31.600000381469727,8
IMU20,1695904066176000000,9.794678688049316,0.2298433631658554,0.026336219161748886,0,0,0,-34.880001068115234,31.639999389648438,8
IMU20,1695904066274000000,9.797073364257812,0.26815059781074524,0.014365210197865963,-0.125,0,0,-35,31.760000228881836,7.92307710647583
IMU20,1695904066371000000,9.775525093078613,0.26575639843940735,0.031124621629714966,0,-0.125,0.125,-35.20000076293945,31.799999237060547,7.92307710647583
IMU20,1695904066468000000,9.806650161743164,0.2849099934101105,0.028730420395731926,0.0625,0.0625,0.0625,-34.880001068115234,31.799999237060547,7.846153736114502
IMU20,1695904066566000000,9.770736694335938,0.2537853717803955,0.035913024097681046,0,0,0,-34.91999816894531,31.479999542236328,8.769230842590332
IMU20,1695904066712000000,9.816226959228516,0.23942016065120697,0.009576806798577309,-0.0625,0,0,-34.79999923706055,31.760000228881836,8.461538314819336
IMU20,1695904066761000000,9.801861763000488,0.29209259152412415,0.023942016065120697,0,-0.0625,0,-35.040000915527344,31.920000076293945,8.538461685180664
IMU20,1695904066907000000,9.799467086791992,0.2609679698944092,0.014365210197865963,0.0625,0,0.0625,-34.79999923706055,31.68000030517578,8.307692527770996
